ano,sigla_uf,id_municipio,id_escola,rede,tipo_localizacao,tipo_situacao_funcionamento,agua_potavel,energia_rede_publica,esgoto_rede_publica,biblioteca,sala_leitura,laboratorio_informatica,internet,internet_alunos,desktop_aluno,computador_portatil_aluno,tablet_aluno,quantidade_sala_utilizada,sala_atendimento_especial
2024,MG,3153707,31035530,3,1,1,1,1,1,1,1,0,1,0,0,0,0,14,0
2024,SP,3544004,35061165,3,1,1,1,1,1,0,1,1,1,1,1,0,0,11,0
2024,SP,3525607,35062273,3,1,1,1,1,1,0,1,0,1,1,0,1,1,14,0
2024,SP,3526605,35219228,3,1,1,1,1,1,1,0,1,1,0,0,0,0,13,0
2024,RS,4316600,43191010,3,1,1,1,1,1,1,1,1,1,1,1,1,0,18,1
2024,RS,4316907,43123392,3,1,1,1,1,1,0,1,1,1,0,1,1,0,10,1
2024,RJ,3303906,33154929,3,1,1,1,1,1,0,1,1,1,0,0,1,0,12,0
2024,RJ,3304557,33072639,3,1,1,1,1,1,1,1,1,1,0,1,0,0,18,0
2024,PA,1508001,15085937,3,1,1,1,1,0,1,0,0,1,1,0,0,0,9,1
2024,BA,2902609,29994730,3,1,1,1,1,1,1,0,1,1,1,1,0,0,11,0
2024,BA,2931053,29211310,3,1,1,1,1,0,0,0,0,1,1,1,1,1,13,1
2024,SP,3530607,35280914,3,1,1,1,1,1,0,1,0,1,1,0,1,0,16,0
2024,BA,2933307,29279291,3,1,1,1,1,1,1,1,0,1,0,1,1,0,10,1
2024,SP,3548708,35475439,3,1,1,1,1,1,1,0,1,1,1,1,1,1,28,1
2024,SP,3554508,35430183,3,1,1,1,1,1,1,0,1,1,1,1,1,1,18,1
2024,MG,3170206,31170160,3,2,1,1,1,1,1,0,1,1,0,0,1,1,18,1
2024,SP,3543402,35212854,3,1,1,1,1,1,0,1,1,1,1,1,0,0,10,1
2024,SP,3549607,35233651,3,1,1,1,1,1,0,0,1,1,1,1,0,0,14,0
2024,MG,3170479,31114197,3,1,1,1,1,1,1,1,1,1,1,1,1,0,18,0
2024,BA,2933059,29088615,3,1,1,1,1,0,1,0,1,1,0,0,0,0,110,1
2024,MG,3151800,31124702,3,1,1,1,1,1,1,0,1,1,0,1,1,1,11,1
2024,SP,3526704,35278014,3,1,1,1,1,1,0,1,1,1,1,1,1,1,15,1
2024,SP,3547304,35240916,3,1,1,1,1,0,1,1,1,1,1,1,1,0,14,1
2024,SP,3550308,35053417,3,1,1,1,1,1,0,1,1,1,0,1,0,0,13,1
2024,SP,3550308,35054306,3,1,1,1,1,1,0,1,1,1,0,1,0,0,12,0
2024,MG,3171204,31321028,3,1,1,1,1,1,1,0,0,1,0,1,1,0,10,0
2024,SP,3526001,35215512,3,1,1,1,1,1,0,1,1,1,1,1,0,0,20,0
2024,SP,3547304,35286953,3,1,1,1,1,1,1,1,1,1,1,1,1,0,16,1
2024,SP,3529302,35202290,3,1,1,1,1,1,0,1,1,1,1,1,0,0,19,0
2024,SP,3542701,35277332,3,1,1,1,1,1,0,1,0,1,0,0,0,0,13,0
2024,SP,3550100,35214218,3,1,1,1,1,1,0,0,1,1,1,1,0,1,9,0
2024,SP,3548708,35242068,3,1,1,1,1,1,1,0,1,1,1,1,1,0,11,1
2024,SC,4203808,42089352,3,1,1,1,1,1,1,0,1,1,1,1,0,0,16,1
2024,MA,2109908,21273731,3,1,1,1,1,0,1,1,1,1,1,1,0,0,22,1
2024,RS,4317202,43126197,3,1,1,1,1,0,1,0,0,1,1,0,1,0,14,1
2024,PE,2601201,26191792,3,1,1,1,1,1,1,0,0,1,0,0,0,0,10,0
2024,RJ,3304144,33062064,3,1,1,1,1,1,0,1,0,1,1,0,0,1,12,1
2024,RJ,3304557,33079110,3,1,1,1,1,1,0,1,0,1,1,1,0,0,22,0
2024,SP,3509205,35218200,3,1,1,1,1,1,1,0,1,1,1,1,1,0,10,0
2024,SP,3509502,35083859,3,1,1,1,1,1,1,0,1,1,1,1,1,1,10,0
2024,SP,3524105,35283101,3,1,1,1,1,1,0,1,0,1,1,1,0,0,14,0
2024,PA,1508084,15122646,3,1,1,1,1,0,0,0,0,1,0,0,0,0,9,0
2024,MG,3136702,31071757,3,1,1,1,1,1,0,1,1,1,0,1,1,0,13,1
2024,MA,2108603,21046654,3,1,1,1,1,0,1,0,0,1,0,0,0,0,9,1
2024,MA,2110005,21258147,3,2,1,0,1,0,0,0,0,1,1,0,0,0,12,1
2024,RS,4316204,43151400,3,1,1,1,1,0,1,0,1,1,1,1,1,0,12,1
2024,RS,4319000,43141773,3,1,1,1,1,1,1,0,0,1,1,1,1,1,12,1
2024,PE,2601102,26000296,3,2,1,1,1,0,0,0,0,1,0,0,0,0,10,0
2024,PR,4106902,41131533,3,1,1,1,1,1,1,0,1,1,1,1,1,1,11,0
2024,PR,4113700,41031580,3,1,1,1,1,1,0,1,1,1,1,1,1,1,15,1
2024,PR,4122404,41033566,3,1,1,1,1,1,0,1,0,1,0,0,0,0,11,1
2024,PA,1501402,15040860,3,1,1,1,1,1,1,0,1,1,0,1,0,0,15,1
2024,BA,2914604,29064341,3,1,1,1,1,1,1,0,1,1,1,1,0,1,9,1
2024,BA,2923506,29218012,3,1,1,1,1,1,1,1,0,1,0,1,1,1,10,0
2024,SP,3533403,35240096,3,1,1,1,1,1,1,0,1,1,1,1,0,0,13,1
2024,SP,3550308,35098784,3,1,1,1,1,1,0,1,1,1,0,1,0,0,10,0
2024,SP,3554003,35196459,3,1,1,1,1,1,0,0,1,1,1,1,0,0,14,1
2024,MG,3154606,31352209,3,1,1,1,1,1,0,1,0,1,1,0,0,1,14,0
2024,MG,3162401,31094251,3,2,1,1,1,0,1,0,1,1,1,1,1,0,6,1
2024,SP,3550308,35055025,3,1,1,1,1,1,0,1,1,1,0,1,0,0,9,0
2024,SC,4208203,42068886,3,1,1,1,1,0,0,1,1,1,1,1,0,0,11,1
2024,MA,2109908,21078033,3,1,1,1,1,0,0,1,0,1,0,0,0,0,10,1
2024,PE,2604403,26092964,3,1,1,1,1,1,1,0,0,1,0,0,0,0,10,0
2024,PE,2611101,26186160,3,2,1,1,1,0,0,0,0,1,0,0,1,0,9,0
2024,RJ,3300456,33047553,3,1,1,1,1,1,0,1,1,1,1,1,1,0,12,1
2024,RJ,3301702,33050856,3,1,1,1,1,1,0,1,1,1,0,1,0,0,11,1
2024,RJ,3304557,33080798,3,1,1,1,1,1,1,1,1,1,1,1,1,0,12,0
2024,SP,3504107,35105727,3,1,1,1,1,0,0,0,1,1,1,1,0,1,10,1
2024,SP,3517703,35010316,3,1,1,1,1,1,0,0,0,1,1,1,1,1,10,0
2024,PA,1507300,15121623,3,1,1,1,1,0,1,0,0,1,0,0,0,0,9,1
2024,PA,1507607,15537277,3,1,1,1,1,0,0,0,1,1,1,1,0,0,9,1
2024,BA,2910503,29156173,3,1,1,1,1,1,1,0,0,1,1,1,1,0,10,0
2024,SP,3550308,35053429,3,1,1,1,1,1,0,1,1,1,0,0,1,1,11,0
2024,MA,2101608,21247218,3,1,1,0,1,0,1,0,0,1,0,1,0,0,12,0
2024,RS,4304663,43039030,3,1,1,1,1,1,0,1,0,1,1,0,0,0,10,1
2024,PR,4100400,41123018,3,1,1,1,1,1,1,0,1,1,0,1,1,0,12,1
2024,PR,4118204,41357019,3,1,1,1,1,1,0,0,0,1,0,0,0,0,14,1
2024,PR,4124103,41048342,3,1,1,1,1,1,1,0,0,1,0,0,0,0,11,1
2024,SP,3509502,35059225,3,1,1,1,1,1,0,0,1,1,1,1,0,1,21,0
2024,PA,1507102,15052990,3,1,1,1,1,0,0,0,0,1,0,0,0,0,17,1
