id_municipio,nu_rede,nu_serie,id_indicador_municipio,nome_uf,nome_regiao,ds_rede,qt_alunos_avaliados,qt_alunos_alfabetizados,qt_alunos_alfabetizados_corte,pc_indicador_alfabetizacao,pc_indicador_alfabetizacao_corte,vl_proficiencia_media,vl_proficiencia_mediana,ts_insercao,pc_taxa_alfabetizacao,pc_participacao_meta,pc_meta_2024,pc_meta_2025,pc_meta_2026,pc_meta_2027,pc_meta_2028,pc_meta_2029,pc_meta_2030,pc_meta_ano_corrente,vl_gap_meta_resultado,nu_ano,sigla_uf
2412500,3,2,6622486036987994454,Rio Grande do Norte,Nordeste,Municipal,217,97,97,44.7,44.7,737.02,732.56,2026-08-20 01:27:09,44.85,89.3,46.13,52.54,58.87,64.92,70.53,75.57,80.0,46.13,-1.28,2024,RN
2413359,3,2,-477515317998972313,Rio Grande do Norte,Nordeste,Municipal,88,25,25,28.41,28.41,720.81,725.25,2026-08-20 01:27:09,27.68,70.4,39.61,46.99,54.51,61.83,68.65,74.74,80.0,39.61,-11.93,2024,RN
2102804,3,2,2710686216938442120,Maranhão,Nordeste,Municipal,252,131,131,51.98,51.98,734.39,745.06,2026-08-20 01:27:09,50.96,88.73,50.25,55.96,61.51,66.78,71.66,76.08,80.0,50.25,0.71,2024,MA
2105658,3,2,-4803670049332410184,Maranhão,Nordeste,Municipal,87,59,59,67.82,67.82,752.92,755.51,2026-08-20 01:27:09,67.86,92.55,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,-12.14,2024,MA
2106508,3,2,4261370071278993023,Maranhão,Nordeste,Municipal,186,87,87,46.77,46.77,733.3,740.49,2026-08-20 01:27:09,46.67,95.38,66.6,69.13,71.55,73.85,76.03,78.08,80.0,66.6,-19.93,2024,MA
2107704,3,2,6935717050336704700,Maranhão,Nordeste,Municipal,261,195,195,74.71,74.71,758.7,759.84,2026-08-20 01:27:09,74.65,90.94,79.02,79.18,79.35,79.51,79.68,79.84,80.0,79.02,-4.37,2024,MA
2108108,3,2,-6510826278941753967,Maranhão,Nordeste,Municipal,211,191,191,90.52,90.52,773.07,774.41,2026-08-20 01:27:09,90.57,99.53,76.82,77.38,77.92,78.45,78.98,79.49,80.0,76.82,13.75,2024,MA
2109205,3,2,-3291301673180443021,Maranhão,Nordeste,Municipal,82,48,48,58.54,58.54,744.87,752.4,2026-08-20 01:27:09,57.94,97.62,43.48,50.31,57.13,63.69,69.78,75.24,80.0,43.48,14.46,2024,MA
2112407,3,2,4681485183527033457,Maranhão,Nordeste,Municipal,294,191,191,64.97,64.97,751.39,754.37,2026-08-20 01:27:09,64.42,91.59,46.7,53.01,59.24,65.18,70.68,75.64,80.0,46.7,17.72,2024,MA
5200134,3,2,-324265581664226113,Goiás,Centro-Oeste,Municipal,262,153,153,58.4,58.4,745.67,749.97,2026-08-20 01:27:09,58.49,88.81,62.06,65.5,68.78,71.89,74.8,77.51,80.0,,,2023,GO
5201702,3,2,-2338119136568148983,Goiás,Centro-Oeste,Municipal,221,143,143,64.71,64.71,751.04,754.13,2026-08-20 01:27:09,63.56,88.14,66.26,68.86,71.34,73.7,75.94,78.04,80.0,,,2023,GO
5203401,3,2,-5712547125926909554,Goiás,Centro-Oeste,Municipal,90,72,72,80.0,80.0,768.11,772.98,2026-08-20 01:27:09,79.14,90.91,79.26,79.39,79.51,79.63,79.76,79.88,80.0,,,2023,GO
5204300,3,2,-5533565045223585535,Goiás,Centro-Oeste,Municipal,129,95,95,73.64,73.64,764.22,764.74,2026-08-20 01:27:09,73.23,85.43,74.28,75.3,76.3,77.27,78.21,79.12,80.0,,,2023,GO
5204953,3,2,5264589295786601549,Goiás,Centro-Oeste,Municipal,52,33,33,63.46,63.46,748.46,755.2,2026-08-20 01:27:09,63.71,89.66,66.38,68.96,71.42,73.76,75.97,78.05,80.0,,,2023,GO
5210208,3,2,-1935849821390791912,Goiás,Centro-Oeste,Municipal,340,268,268,78.82,78.82,764.04,764.44,2026-08-20 01:27:09,78.36,88.6,78.6,78.84,79.07,79.31,79.54,79.77,80.0,,,2023,GO
5213707,3,2,4499063980832683944,Goiás,Centro-Oeste,Municipal,85,56,56,65.88,65.88,749.41,759.06,2026-08-20 01:27:09,66.57,87.63,68.75,70.85,72.86,74.79,76.62,78.36,80.0,,,2023,GO
5213806,3,2,1400811391015332984,Goiás,Centro-Oeste,Municipal,463,289,289,62.42,62.42,747.27,753.6,2026-08-20 01:27:09,62.28,88.05,65.2,68.01,70.7,73.24,75.65,77.9,80.0,,,2023,GO
5218052,3,2,-2497494983197204644,Goiás,Centro-Oeste,Municipal,74,62,62,83.78,83.78,767.58,769.91,2026-08-20 01:27:09,83.88,87.06,80.0,80.0,80.0,80.0,80.0,80.0,80.0,,,2023,GO
2401909,2,2,-8870072015275527899,Rio Grande do Norte,Nordeste,Estadual,15,7,7,46.67,46.67,733.18,739.78,2026-08-20 01:27:09,46.67,,,,,,,,,,,2024,RN
2403707,3,2,-2537405423180405722,Rio Grande do Norte,Nordeste,Municipal,47,24,24,51.06,51.06,735.58,743.07,2026-08-20 01:27:09,51.71,94.0,58.61,62.74,66.69,70.41,73.89,77.09,80.0,58.61,-6.9,2024,RN
2407005,3,2,5255073818946105539,Rio Grande do Norte,Nordeste,Municipal,44,11,11,25.0,25.0,714.6,711.62,2026-08-20 01:27:09,26.6,86.27,33.44,41.52,50.08,58.64,66.7,73.9,80.0,33.44,-6.84,2024,RN
2410900,3,2,1618298711702544653,Rio Grande do Norte,Nordeste,Municipal,66,20,20,30.3,30.3,723.99,720.1,2026-08-20 01:27:09,27.78,80.49,47.19,53.43,59.56,65.41,70.82,75.7,80.0,47.19,-19.41,2024,RN
2411106,3,2,-381376811244716978,Rio Grande do Norte,Nordeste,Municipal,20,7,7,35.0,35.0,727.2,722.44,2026-08-20 01:27:09,35.0,74.07,61.84,65.33,68.65,71.8,74.75,77.48,80.0,61.84,-26.84,2024,RN
2413805,3,2,3832058868619431241,Rio Grande do Norte,Nordeste,Municipal,25,18,18,72.0,72.0,785.26,795.05,2026-08-20 01:27:09,73.08,89.29,51.04,56.6,62.01,67.13,71.87,76.17,80.0,51.04,22.04,2024,RN
2414209,3,2,484346834214639027,Rio Grande do Norte,Nordeste,Municipal,216,55,55,25.46,25.46,715.25,713.48,2026-08-20 01:27:09,24.98,82.76,24.51,33.04,42.85,53.26,63.39,72.47,80.0,24.51,0.47,2024,RN
2400505,3,2,-7210274080427826164,Rio Grande do Norte,Nordeste,Municipal,134,79,79,58.96,58.96,751.77,751.75,2026-08-20 01:27:09,58.98,87.58,24.68,33.21,43.0,53.38,63.47,72.5,80.0,24.68,34.3,2024,RN
2404309,2,2,-3788638670751045822,Rio Grande do Norte,Nordeste,Estadual,25,14,14,56.0,56.0,759.34,770.65,2026-08-20 01:27:09,56.0,,,,,,,,,,,2024,RN
2406403,3,2,-7770811261185664818,Rio Grande do Norte,Nordeste,Municipal,27,8,8,29.63,29.63,723.8,729.7,2026-08-20 01:27:09,29.67,79.41,47.75,53.89,59.92,65.66,70.97,75.77,80.0,47.75,-18.08,2024,RN
2407252,3,2,-5565593931790692792,Rio Grande do Norte,Nordeste,Municipal,45,27,27,60.0,60.0,755.55,763.76,2026-08-20 01:27:09,60.04,90.0,38.44,45.97,53.7,61.25,68.29,74.59,80.0,38.44,21.6,2024,RN
2408300,2,2,6392308312344571197,Rio Grande do Norte,Nordeste,Estadual,18,4,4,22.22,22.22,716.36,714.05,2026-08-20 01:27:09,22.22,,,,,,,,,,,2024,RN
2408805,3,2,5791893149009804985,Rio Grande do Norte,Nordeste,Municipal,60,19,19,31.67,31.67,719.1,708.96,2026-08-20 01:27:09,28.27,80.0,52.37,57.7,62.84,67.71,72.23,76.33,80.0,52.37,-24.1,2024,RN
2411205,2,2,4803380835651916687,Rio Grande do Norte,Nordeste,Estadual,23,15,15,65.22,65.22,759.81,763.57,2026-08-20 01:27:09,65.22,,,,,,,,,,,2024,RN
2412104,2,2,5860622907279583558,Rio Grande do Norte,Nordeste,Estadual,10,4,4,40.0,40.0,745.26,730.75,2026-08-20 01:27:09,40.0,,,,,,,,,,,2024,RN
2413300,3,2,-7131705934497709645,Rio Grande do Norte,Nordeste,Municipal,43,18,18,41.86,41.86,732.93,727.49,2026-08-20 01:27:09,42.09,84.31,34.12,42.13,50.59,59.0,66.93,73.99,80.0,34.12,7.97,2024,RN
