cd_referencia,nu_ano,nu_rede,ds_rede,pc_taxa_alfabetizacao,pc_taxa_alfabetizacao_ano_anterior,vl_variacao_yoy,fl_evolucao_positiva,id_evolucao,ts_insercao,ds_nivel_geografico
2313104,2024,5,Pública,84.32,88.99,-4.67,false,1815132609693452836,2026-08-20 01:27:09,MUNICIPIO
2314003,2023,3,Municipal,95.17,,,,-7849440333125169596,2026-08-20 01:27:09,MUNICIPIO
2314003,2024,3,Municipal,90.9,95.17,-4.27,false,-7771969009088867761,2026-08-20 01:27:09,MUNICIPIO
2401404,2023,3,Municipal,26.01,,,,-7329667478062643975,2026-08-20 01:27:09,MUNICIPIO
2401404,2024,3,Municipal,35.36,26.01,9.35,true,-2246264611717887070,2026-08-20 01:27:09,MUNICIPIO
2401453,2023,3,Municipal,32.01,,,,1937004546436236698,2026-08-20 01:27:09,MUNICIPIO
2401453,2024,3,Municipal,44.48,32.01,12.47,true,-6777478331449908943,2026-08-20 01:27:09,MUNICIPIO
2401503,2023,5,Pública,55.27,,,,-8891752509947855954,2026-08-20 01:27:09,MUNICIPIO
2401503,2024,5,Pública,74.35,55.27,19.08,true,3572000626509143871,2026-08-20 01:27:09,MUNICIPIO
2403004,2023,5,Pública,65.12,,,,-3706567086762888816,2026-08-20 01:27:09,MUNICIPIO
2403004,2024,5,Pública,58.31,65.12,-6.81,false,2815086138089690825,2026-08-20 01:27:09,MUNICIPIO
2405009,2023,2,Estadual,53.57,,,,1549106389716203157,2026-08-20 01:27:09,MUNICIPIO
2405009,2024,2,Estadual,52.38,53.57,-1.19,false,-240593420346721622,2026-08-20 01:27:09,MUNICIPIO
2406601,2023,3,Municipal,22.82,,,,8681503635389867192,2026-08-20 01:27:09,MUNICIPIO
2406601,2024,3,Municipal,64.22,22.82,41.4,true,-2540034193901509792,2026-08-20 01:27:09,MUNICIPIO
2406601,2023,5,Pública,23.4,,,,-7665583156143800,2026-08-20 01:27:09,MUNICIPIO
2406601,2024,5,Pública,63.42,23.4,40.02,true,469362505642539119,2026-08-20 01:27:09,MUNICIPIO
2408953,2023,3,Municipal,14.85,,,,-3703042913006778097,2026-08-20 01:27:09,MUNICIPIO
2408953,2024,3,Municipal,31.56,14.85,16.71,true,5270767673710045760,2026-08-20 01:27:09,MUNICIPIO
2411403,2023,2,Estadual,49.52,,,,4412119129705632092,2026-08-20 01:27:09,MUNICIPIO
2411403,2024,2,Estadual,63.95,49.52,14.43,true,-7720635265355186286,2026-08-20 01:27:09,MUNICIPIO
2414159,2023,5,Pública,44.64,,,,-3309238054526956876,2026-08-20 01:27:09,MUNICIPIO
2414159,2024,5,Pública,37.18,44.64,-7.46,false,-5165158758660748579,2026-08-20 01:27:09,MUNICIPIO
2414456,2023,5,Pública,24.71,,,,4746474669851271295,2026-08-20 01:27:09,MUNICIPIO
2414456,2024,5,Pública,10.95,24.71,-13.76,false,-6376779959363131875,2026-08-20 01:27:09,MUNICIPIO
2500403,2023,3,Municipal,38.94,,,,8851399736046727079,2026-08-20 01:27:09,MUNICIPIO
2500403,2024,3,Municipal,89.39,38.94,50.45,true,-353458803060035890,2026-08-20 01:27:09,MUNICIPIO
2500403,2023,5,Pública,38.94,,,,-6780395099087616365,2026-08-20 01:27:09,MUNICIPIO
2500403,2024,5,Pública,89.39,38.94,50.45,true,1797737176911815374,2026-08-20 01:27:09,MUNICIPIO
2500502,2023,5,Pública,57.29,,,,-7146670998150623056,2026-08-20 01:27:09,MUNICIPIO
2500502,2024,5,Pública,53.1,57.29,-4.19,false,-4106258186107484309,2026-08-20 01:27:09,MUNICIPIO
2501153,2023,3,Municipal,25.0,,,,-75151541248881637,2026-08-20 01:27:09,MUNICIPIO
2501153,2024,3,Municipal,36.36,25.0,11.36,true,-4411347223821773356,2026-08-20 01:27:09,MUNICIPIO
