id_indicador_municipio,id_municipio,nome_uf,nome_regiao,nu_rede,ds_rede,nu_serie,qt_alunos_avaliados,qt_alunos_alfabetizados,qt_alunos_alfabetizados_corte,pc_indicador_alfabetizacao,pc_indicador_alfabetizacao_corte,vl_proficiencia_media,vl_proficiencia_mediana,ts_insercao,nu_ano,sigla_uf
-4782721213503145334,3113404,Minas Gerais,Sudeste,3,Municipal,2,855,581,581,67.95,67.95,753.29,761.02,2026-08-20 01:27:09,2024,MG
8553517879420018570,3116803,Minas Gerais,Sudeste,3,Municipal,2,77,70,70,90.91,90.91,785.57,789.03,2026-08-20 01:27:09,2024,MG
1876604359218357085,3119401,Minas Gerais,Sudeste,3,Municipal,2,668,430,430,64.37,64.37,750.31,757.85,2026-08-20 01:27:09,2024,MG
8886030907145879679,3120508,Minas Gerais,Sudeste,3,Municipal,2,128,105,105,82.03,82.03,769.55,772.54,2026-08-20 01:27:09,2024,MG
-5339402128982081454,3128303,Minas Gerais,Sudeste,3,Municipal,2,210,136,136,64.76,64.76,751.36,759.32,2026-08-20 01:27:09,2024,MG
8134196398791370971,3136108,Minas Gerais,Sudeste,3,Municipal,2,27,23,23,85.19,85.19,765.33,767.47,2026-08-20 01:27:09,2024,MG
3805182680261344359,3137536,Minas Gerais,Sudeste,3,Municipal,2,97,74,74,76.29,76.29,764.04,769.31,2026-08-20 01:27:09,2024,MG
-5348349692523145977,3138708,Minas Gerais,Sudeste,3,Municipal,2,41,40,40,97.56,97.56,784.21,783.04,2026-08-20 01:27:09,2024,MG
9038213238468113060,3139805,Minas Gerais,Sudeste,2,Estadual,2,122,90,90,73.77,73.77,756.85,764.54,2026-08-20 01:27:09,2024,MG
-8520247617739829281,3140159,Minas Gerais,Sudeste,3,Municipal,2,149,110,110,73.83,73.83,765.41,768.0,2026-08-20 01:27:09,2024,MG
-6392394107651437843,3142205,Minas Gerais,Sudeste,2,Estadual,2,15,11,11,73.33,73.33,757.41,767.31,2026-08-20 01:27:09,2024,MG
1482641084505079638,3142304,Minas Gerais,Sudeste,3,Municipal,2,53,48,48,90.57,90.57,774.35,774.23,2026-08-20 01:27:09,2024,MG
-1681776587489674502,3145356,Minas Gerais,Sudeste,2,Estadual,2,27,21,21,77.78,77.78,760.11,762.17,2026-08-20 01:27:09,2024,MG
-2043762797838874339,3145604,Minas Gerais,Sudeste,3,Municipal,2,236,190,190,80.51,80.51,764.28,769.1,2026-08-20 01:27:09,2024,MG
-7846931743768910924,3149952,Minas Gerais,Sudeste,3,Municipal,2,75,33,33,44.0,44.0,733.47,734.58,2026-08-20 01:27:09,2024,MG
7010859042582461507,3156007,Minas Gerais,Sudeste,2,Estadual,2,35,26,26,74.29,74.29,752.67,760.14,2026-08-20 01:27:09,2024,MG
2092853969508031919,3156809,Minas Gerais,Sudeste,3,Municipal,2,46,28,28,60.87,60.87,746.06,757.73,2026-08-20 01:27:09,2024,MG
2628693314826933066,3162005,Minas Gerais,Sudeste,2,Estadual,2,18,14,14,77.78,77.78,763.84,761.57,2026-08-20 01:27:09,2024,MG
7839457235554414310,3162104,Minas Gerais,Sudeste,3,Municipal,2,495,374,374,75.56,75.56,759.89,766.34,2026-08-20 01:27:09,2024,MG
5595234341756202436,3162401,Minas Gerais,Sudeste,3,Municipal,2,177,112,112,63.28,63.28,750.69,760.49,2026-08-20 01:27:09,2024,MG
2573924214781511242,3162609,Minas Gerais,Sudeste,3,Municipal,2,76,52,52,68.42,68.42,757.53,759.11,2026-08-20 01:27:09,2024,MG
-4899292302650819372,3163201,Minas Gerais,Sudeste,3,Municipal,2,50,43,43,86.0,86.0,771.7,772.84,2026-08-20 01:27:09,2024,MG
6282888423041467671,3165537,Minas Gerais,Sudeste,3,Municipal,2,475,392,392,82.53,82.53,767.87,771.11,2026-08-20 01:27:09,2024,MG
-21449057786630750,3165560,Minas Gerais,Sudeste,3,Municipal,2,13,11,11,84.62,84.62,772.71,774.24,2026-08-20 01:27:09,2024,MG
-5885385290813751070,3166501,Minas Gerais,Sudeste,2,Estadual,2,30,22,22,73.33,73.33,759.09,761.3,2026-08-20 01:27:09,2024,MG
-335018580141276867,3169604,Minas Gerais,Sudeste,3,Municipal,2,227,133,133,58.59,58.59,741.71,751.94,2026-08-20 01:27:09,2024,MG
-3609993685107301621,3169802,Minas Gerais,Sudeste,3,Municipal,2,70,47,47,67.14,67.14,749.0,759.47,2026-08-20 01:27:09,2024,MG
4667760654346784178,3170909,Minas Gerais,Sudeste,2,Estadual,2,74,47,47,63.51,63.51,753.62,758.61,2026-08-20 01:27:09,2024,MG
3127891882546965561,3102050,Minas Gerais,Sudeste,3,Municipal,2,93,81,81,87.1,87.1,773.6,774.3,2026-08-20 01:27:09,2024,MG
7425186519326829451,3102704,Minas Gerais,Sudeste,3,Municipal,2,59,46,46,77.97,77.97,754.23,757.84,2026-08-20 01:27:09,2024,MG
688903532233369460,3102803,Minas Gerais,Sudeste,3,Municipal,2,89,60,60,67.42,67.42,754.39,762.44,2026-08-20 01:27:09,2024,MG
5775318276606123040,3108404,Minas Gerais,Sudeste,3,Municipal,2,80,70,70,87.5,87.5,777.44,779.69,2026-08-20 01:27:09,2024,MG
488972160777041465,3112802,Minas Gerais,Sudeste,3,Municipal,2,67,53,53,79.1,79.1,763.81,774.44,2026-08-20 01:27:09,2024,MG
-9203008060409186350,3113800,Minas Gerais,Sudeste,3,Municipal,2,30,19,19,63.33,63.33,743.29,754.9,2026-08-20 01:27:09,2024,MG
-6900339450229111944,3115003,Minas Gerais,Sudeste,3,Municipal,2,28,24,24,85.71,85.71,780.86,779.73,2026-08-20 01:27:09,2024,MG
-7751264679199033923,3118809,Minas Gerais,Sudeste,2,Estadual,2,163,132,132,80.98,80.98,772.96,773.12,2026-08-20 01:27:09,2024,MG
-4695302012730717244,3120300,Minas Gerais,Sudeste,3,Municipal,2,51,28,28,54.9,54.9,743.77,745.36,2026-08-20 01:27:09,2024,MG
4311876383231539209,3120904,Minas Gerais,Sudeste,3,Municipal,2,703,509,509,72.4,72.4,755.8,762.73,2026-08-20 01:27:09,2024,MG
7786653928201132677,3124104,Minas Gerais,Sudeste,2,Estadual,2,284,208,208,73.24,73.24,758.96,767.32,2026-08-20 01:27:09,2024,MG
322483047287137926,3125200,Minas Gerais,Sudeste,3,Municipal,2,23,20,20,86.96,86.96,777.89,779.85,2026-08-20 01:27:09,2024,MG
-7416142626649155322,3126406,Minas Gerais,Sudeste,3,Municipal,2,22,20,20,90.91,90.91,773.91,771.29,2026-08-20 01:27:09,2024,MG
-7110285334357747637,3133303,Minas Gerais,Sudeste,2,Estadual,2,25,19,19,76.0,76.0,772.53,780.62,2026-08-20 01:27:09,2024,MG
8537879612207939279,3133501,Minas Gerais,Sudeste,2,Estadual,2,73,63,63,86.3,86.3,773.67,780.64,2026-08-20 01:27:09,2024,MG
3281967753254178032,3134202,Minas Gerais,Sudeste,2,Estadual,2,297,171,171,57.58,57.58,747.95,752.38,2026-08-20 01:27:09,2024,MG
-2901465243513387498,3134202,Minas Gerais,Sudeste,3,Municipal,2,597,400,400,67.0,67.0,753.84,758.29,2026-08-20 01:27:09,2024,MG
-1517880856058244825,3135803,Minas Gerais,Sudeste,2,Estadual,2,60,44,44,73.33,73.33,757.23,761.17,2026-08-20 01:27:09,2024,MG
4993723370582449726,3138401,Minas Gerais,Sudeste,3,Municipal,2,270,179,179,66.3,66.3,751.4,757.18,2026-08-20 01:27:09,2024,MG
-3802617760895045916,3143302,Minas Gerais,Sudeste,2,Estadual,2,1436,1070,1070,74.51,74.51,761.74,768.51,2026-08-20 01:27:09,2024,MG
9171076040725257470,3145802,Minas Gerais,Sudeste,2,Estadual,2,12,10,10,83.33,83.33,769.63,771.74,2026-08-20 01:27:09,2024,MG
